=HYPERLINK("https://www.youtube.com/watch?v=rGFG56tqrB0", "[Private video]")
=HYPERLINK("https://www.youtube.com/watch?v=YqJL5xn_BJk", "EP440 我該輟學去賺錢嗎？#財富自由 是個結果，不應該是追逐的目標｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=bWawMkX4HQ4", "EP439 唉～老闆又想做「蠢事」了！這次我該冷眼旁觀，還是極力勸阻呢？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=xsHc4xpIp9I", "EP438 「餘裕」與「迷霧」：2024 JB年度回顧與展望！熱門節目TOP 5？大人學超人氣課程？數位遊牧新平台在做什麼？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=3RJ7e7VuASo", "EP437 你聽過富二代朋友向你訴苦嗎？含著金湯匙還能吐苦水？他們苦在哪裡？有什麼是他們欠缺，而你擁有的？今天一次告訴你！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=E4chFPH_XuM", "EP436 為何工作出包時，老闆都不聽我解釋？面對職場犯錯情境的必備認知｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=Fx8sa5fTZ40", "EP435 強大的自信與氣場，其實源自於DNA？如何培養後天的自信與氣場，這是目前最科學的方式！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=QcutM1FKZnw", "EP434 為了社會改變自己、交換好處是種「惡」嗎？你可以不玩，但要看你有沒有本錢｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=xx3XNPHWCPw", "數位遊牧誌 SP1：相比於上班族，自由工作者更需要建構個人專屬系統，才能長久兼顧收入與自由｜《雷蒙三十》侯智薰 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=I3NkRB4p01g", "EP433 自媒體操盤手，如何跳脫維度，打造「知識宇宙」？｜M觀點主持人 Miula 專訪｜大人的Small Talk @miulaviewpoint")
=HYPERLINK("https://www.youtube.com/watch?v=MJv8sJoCBrE", "EP432 為何想要改變對方，只會讓關係更糟？越是親近的人，你越不該主動介入他的困境｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=UKAqbP0cKZM", "EP431 直屬主管不喜歡我，但大老闆卻對我關愛有加，這是什麼情況？小心別誤判局勢，害自己兩頭不著！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=ID2liBv3K7k", "EP430 只看到眼前的損失，而對機會裹足不前，最後會讓你一無所有｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=OkeBeUT0-yI", "EP429 小孩子才事事徵求別人的同意。#大人 懂得獨立判斷，放膽去試，但同時也承擔責任！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=7ZWLb5mo1XM", "EP428 人生平穩的策略：有餘裕時更該發展支線，從小實驗中找到增長曲線的起點｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=m64yZCUxY5I", "EP426 人生其實沒有兩難！所有看似兩難的問題，都是生命對你的提醒！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=XegHSx-dapw", "EP425 數位遊牧誌：設計自己的理想生活，路走不通，就自己開創一條｜佐編茶水間 Zoey 佐依 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=3jOpO6XNvF8", "EP424 當機會降臨，該如何理性且正確的做決定？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=z6y3uJ1-lwo", "EP423 辦公室的討厭鬼讓你心力交瘁？其實他們只是NPC，太認真你就輸了！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=ywURWwYQr2w", "EP422 「沒車沒房就不能結婚？」婚姻制度其實有兩種遊戲規則｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=sGK9k5YzGPg", "EP421 #職業大百科：科技女力崛起 – 因為不同，更顯優勢，半導體學姊職涯分享｜美商科林研發 Lam Research 資深人資長 Elaine Yang & 製程經理 Tina Li")
=HYPERLINK("https://www.youtube.com/watch?v=DVsZQrF4OZ8", "EP420 沒有把我教育完美的爸媽，我該給他們幾分？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=UP_KcXEJBd8", "EP419 布萊恩的直言不諱：原來很多人的 #夢想，只是個 #粉紅泡泡，認真你就輸了！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=rcwSKNyMO7M", "EP418「女人不壞，男人不愛」！？#拜金女 該怎麼看？？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=BuLlhIB8m-E", "EP417 你也想要離職並成為獨立創作者嗎？機會與風險你更在意哪一個？| VK科技閱讀時間 專訪｜大人的Small Talk @VK-TECH223")
=HYPERLINK("https://www.youtube.com/watch?v=OCmjuzW5dds", "EP416 男人不壞，女人不愛，真是這樣嗎？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=Uf_SdS9u6co", "EP415 不藏私分享！布萊恩推薦 5 大 #辦公室 實用好物｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=9jYQmgtE5hc", "EP414 人生最重要的課題，就是不要讓自己陷入 #背水一戰 的情境｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=xPpQSMny4yA", "EP413 教育制度一直改，是要怎麼教小孩？學校之外，父母能做些什麼？｜小提琴家&教育家 余道昌博士 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=A-ROLvtIODM", "EP412 遇上「消極抵抗」的資深員工，#新手主管 該如何帶領 #團隊？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=091i6PFVqX4", "EP411 保守且單純的 #熊貓 vs. 開放又警覺的 #灰熊：面對複雜多變的世界，你選擇哪一種生存策略？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=Zmy0Swh3gT0", "EP410 企業顧問已讀不回、主管下不了決策，負責執行的我怎麼辦？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=T2ClkzoPrHE", "EP409 總覺得時間不夠用？自由源於自律，讓生活充實的實作指南 feat.薑餅資 @gingerbread0529｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=-BlS-debE8k", "EP408 擺脫職涯困境別靠孤注一擲，而是在對的路上走穩每一步｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=nPHnYaw0fGs", "EP407 是什麼讓這個世代失去了「冒險精神」？只要能善用「它」，就會成為你冒險的助力｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=39KK4QiPh4k", "EP406 不滿主管沒關係，但「消極抵抗」卻是最笨的方式｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=sSBPdqmC7S0", "EP405 與劉軒的Small Talk：職場人際關係卡關怎麼辦？ ft. 劉軒的How to人生學｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=TRQdbmRDCaQ", "EP404 到新公司沒人教也沒人帶，我該怎麼思考與判斷？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=NBFIBw9D69w", "EP403 覺得自己能力平凡不出眾？用「#25%法則」重新定義自己的專長、找出職涯優勢！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=MG79fp1wBzQ", "EP402 #老闆心思翻譯機：老闆為何不讓我升官？「#年資 不夠」是真的假的？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=gOgm3nPVZwg", "EP401 #職業大百科：認識表演、學會溝通，每個人都該認識的表演魔法｜金鐘演員 范瑞君 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=CeYzFNW9EEQ", "做對了，就會幸福快樂嗎？｜大人學 #shorts #戀愛 #人生 #選擇 #婚姻 #兩性 #生活 #結婚 #女生 #男生 大人學 #Podcast #大人的SmallTalk")
=HYPERLINK("https://www.youtube.com/watch?v=khlMxPrjAwA", "EP400 什麼是「愛自己」？總是遇到渣男？支持辦公室戀情嗎？30歲該結婚了嗎？｜JB #感情相談室｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=IFUFNrHs2OQ", "EP399 人際關係好難？抱持「一個人只要滿足我一件事，就給100分」的原則，包你馬上看到全新的世界！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=MTf-dKe2Uvc", "EP398 另一半的缺點在婚後會改變嗎？別抱著錯誤的期待，婚後只會更加慘烈｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=pQ5Gb80Bpvo", "EP397 從工程師到國際知名創投，「#商業思維」帶來無限的職涯可能｜前台積電、淡馬錫高階主管 郝旭烈 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=WuaexEV0XqE", "EP396 別讓他人來主導你的感受！當別人說「這又沒怎麼樣」，你不須勉強自己不去在意｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=Pa12UZ4TDTU", "EP395 化解職場上的對立，你需要掌握「#敘事」的能力：先塑造「虛擬大魔王」，再與對方「協力打怪」！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=uypq8FgMc6s", "EP394 大人世界只看實力：不論幾歲，擁有 #一技之長，是你最佳的策略｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=trvEmg93QPY", "EP393 #職業大百科：頂尖半導體公司的主管都在做什麼？｜科林研發 Lam Research 專案經理 莊閔凱 Min-Kai Jhuang & 設備經理 黃柏倫 Allen Huang 專訪")
=HYPERLINK("https://www.youtube.com/watch?v=KV6pne7zbX4", "EP392 商品設計的 #完美配方：「我想要的」加「客戶想要的」｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=jH2uli_3FKU", "EP391 成功學是不是倖存者偏差？從樂觀到悲觀，從理性到豁達，4段人生經歷給我的體悟｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=RI5-kNYnccY", "EP390 如何建構全局視野？一套越早培養，對人生越有幫助的訓練方法｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=c89c3m8cp9E", "EP389 #職業大百科：領導200人團隊的三寶媽，打破你對日商的刻板印象｜#東京威力科創 副處長 SiSi Chang 張鉑涪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=Nm5W0JIK-Ps", "EP388 認知決定命運。階級為何難翻轉？為何有人註定會全盤皆輸？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=FyW48RP4ODc", "EP387 你人生的 #快樂 取決於你思想的品質！加入「目標與代價」的視角，你會更瀟灑！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=mjJ_GMnpYEI", "EP386 你的人生願景只是願望？你的優勢足夠輾壓他人嗎？認清你自以為的「#願景」與「#優勢」｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=un8Umbla570", "EP385 你的公司是解決問題？還是解決提出問題的人？建構系統思考的能力，才能從根源解決難題｜國際PJ法創辦人 #彭建文 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=RBV-vJTFUWo", "EP384 #存股 其實既不保本，也不保息。股市小白忽略的高股息風險｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=S-GJMZvGLh4", "EP383 我最佩服這種人：當大家都在打嘴炮，他已經默默動手玩真的！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=UfN_0hlQaqk", "EP382 #專案 爆炸大Delay，工程師也不主動回報。這是專案的常態？還是我管理有問題？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=alv-o9j548A", "EP381 不是所有「#潛規則」都是虛偽的面具，有些其實是成熟 #大人 的體貼？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=eZ8z0OctAAM", "EP380 退休的爸媽常吵架，做為子女的我該如何是好？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=ymUAYTxX8C0", "EP379 小朋友也能懂的人際關係溝通術—Bryan讀《在超市遇見戴爾．卡內基》｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=rNpSWbWMO7c", "EP378 閒聊F.I.R.E思維：簡化的公式，容易讓我們踏入人生陷阱｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=lihE0cB2N-U", "EP377 運用小規模測試「聰明曝險」，以小搏大，是成熟大人的必學技巧｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=fAGnNvCRV8c", "EP376 對於無法改變的事情，該如何坦然 #放手？做對的事，才是 #轉念 的起點｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=OxjF85cscNE", "EP375 與劉軒的Small Talk：如何成熟面對與化解職場中的情緒挑戰 ft. 劉軒的How to人生學 ｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=NlJ_rRXqO7I", "EP374 #老闆心思翻譯機：「這個不用做太好，我們先實驗一下」是什麼意思？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=MIxx3jq9wFE", "EP373 身處 #職場食物鏈 底層，更要隨時仰望星空！看懂你所處產業與公司的四件事情，才有機會獲得超額回報！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=cGJ1kxFx-AA", "EP372 為何 #學歷 的價值逐年降低？未來該怎麼證明自己的能力？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=oZOo-gDe0zw", "EP371 跟自己好好對話，鼓起勇氣成為你想成為的人｜鄒開蓮 Rose 前 Verizon Media 國際事業董事總經理 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=ddwgAKyRzWc", "EP370 選工作時僅考慮 #薪水，是常見的 #職涯陷阱｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=HUHykHFUUHA", "EP369 數學差就不能當工程師？天賦不等於考試分數！拿學科分數當作職涯定位，你將失去許多發光的機會！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=qW_lFK_lzXk", "EP368 社會新鮮人的 #小資 理財之道：增長，是比存錢更重要的一件事｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=XqpLuPlel_A", "里程碑 100K Subscribers!#大人學 #大人的SmallTalk #Youbube #十萬訂閱 #創作者")
=HYPERLINK("https://www.youtube.com/watch?v=-AWtW8Xkvps", "EP367 #職業大百科：全球 Top 3半導體設備商，到底是怎麼煉成的？客戶夥伴、技術創新、以人為本｜科林研發台灣總經理 郭偉毅 William Kuo & 營運副總 焦長泰 CT Chiao 專訪")
=HYPERLINK("https://www.youtube.com/watch?v=G93OT9pm5g4", "EP366 二十年來央行策略讓我們付出了什麼代價？《致富的特權》導讀｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=PG2u5BY7wTE", "EP365 別再用「今日事今日畢」來逼迫自己了！這六個「工作排序」的原則，為你兼顧高效率與好心情｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=S0-MzBxKzBQ", "EP364 買不起房不是你的錯！聊聊 #房價 漲成這樣的緣由，讓你搞懂資本市場規則｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=eRaRmuQYsr4", "EP363 你的 #人生選擇，為何一定要他人支持？自己剪斷「臍帶」 才能成為獨立成熟的大人！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=Mjsc_q4hhp8", "EP362 人生真存在「彎道超車」嗎？如何會容易 #翻車，又有沒可能真正超越？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=Yu30ve5vE5o", "EP361 從土木技師、花燈冠軍、再到露營達人：想把日子過開心，一定要有自己的想法｜高世鍊 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=_nhi4f_Ot0c", "EP360「什麼都無法捨棄的人，什麼也改變不了」——現在不願放手犧牲，未來連 #選擇 的機會都沒有｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=u_-GkA_mslc", "EP359 我是 #公務員，但我也想要成長進步，我能怎麼做？4個 #公職 朋友專屬的職涯策略分享給你！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=vUYimPb-Oog", "EP358 我爸花了上百萬在新女友身上，擔心家裡被掏空，我該怎麼辦？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=KQZdYDVRK1o", "EP357 其實工作的熱情不香也不甜，反而是苦澀後的回甘，這是大人才懂的滋味！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=gMWnBGKdiag", "EP356 雜事做多了，就會得到職場好人緣嗎？——有求必應到底是加分還是扣分？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=s9e8303SdlI", "EP355 #戰國策教你：如何藉由掌握人性，從一無所有變成資源滿手？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=zgbnEy2oVgk", "EP354 想 #中年轉職，職場難有機會？#年紀，其實不是你職涯卡關的主因｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=EEyGvXpN5Rc", "EP353 你曾因為階級落差感到沮喪或憤怒嗎？「#心智強度」是你翻身的主要武器！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=DuY0y0SvfKo", "EP352 誰說運氣是不能掌控的？你明明有能力抓住，為什麼要閃躲！人生強運的6個策略｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=0xy2mrCYweg", "EP351 #天才 的秘密：我不是什麼領域都有天賦，只是掌握了「#學習 的科學」｜小提琴家&教育家 余道昌博士 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=k0mBZME0m0g", "EP350 「你連一天50塊飲料錢都拿不出來嗎？」激將法為什麼有效？因為你被「#自尊心」牽著走！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=mxfiwuGAOWU", "EP349 大家都說很重要的知識，我就非學不可嗎？到底什麼該學？該學多深？越學越焦慮又該怎麼辦？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=SRWYMq0SzWA", "EP348 經營診療室：回家創業引發家庭革命該放手？夥伴目標一致，事業才能長久｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=_6iBwS-gJCM", "EP347 海外奮鬥數十年，回台求職卻處處碰壁！失落傳產台幹如何重新建立職涯方向？｜其利工業集團營運長 #上官飛鳳 Iris 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=2x6_wSft7xU", "EP346 #AI 浪潮下，優勢者反而更該具備 #危機意識｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=nIRUmJCYT6s", "EP345 有什麼事情比追求一個更好的自己還重要？成為一個你真心認同的自己！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=p9PTPqSZlG0", "EP344 別被空泛的 #夢想 牽著走，不務實的目標永遠沒有實踐的機會｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=rq_5vJ2eIUw", "EP343 #AI 這麼強，社會這麼亂，我該怎麼教小孩？AI時代的家長指南｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=fguL2HObm0o", "EP342 #經營診療室：我想接班改革，老爸不放手該怎麼辦？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=pxeY4QHmumA", "EP341 經典名句背後的殘酷真相：#吃苦當作吃補？有些苦吃再多也沒用！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=VQLfFEMn36A", "EP340 如何避開 #中年危機？掌握正確的認知，才不至於打爛了一手好牌｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=eiudJh3AZ5g", "EP339 經典名句背後的殘酷真相：你以為「選擇比努力重要」，但事實是「不努力根本就沒選擇」！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=yaNTGkHRqMY", "EP338 #AI 工具的短中長期發展趨勢，你準備好了嗎？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=5351okSetn0", "EP337 「#躺平」很可能是個理性的決定，但你不覺得這樣的 #人生 很無聊嗎？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=nx0I48KqmeU", "EP336 承擔責任感覺好痛苦，不當 #主管 不行嗎？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=PD61kgu29to", "EP335 闖蕩世界的勇敢心法：#勇氣 源於 #自信，而自信始於 #貢獻｜#矽谷阿雅 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=vYx1NRqnlfs", "EP333 到底什麼是「人生觀」？其實就是你使用時間與精力的方式！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=ZNAxRAxJ1cg", "EP332 什麼樣的男生會讓女生心動？是犧牲奉獻的護花使者，還是能被馴服的野獸？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=UOcI0LJZZN0", "EP331 好的 #簡報 要讓聽眾覺得你很厲害，好的 #課程 要讓聽眾覺得自己很厲害｜頂尖職業講師 #王永福｜大人的Small Talk @afuwang")
=HYPERLINK("https://www.youtube.com/watch?v=TJQv4dng73Q", "EP330 總是被怪人喜歡上，我該檢討自己嗎？該怎麼吸引「#對的人」？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=GJPhIa_igbI", "Joe & Bryan的年度關鍵字？｜大人學 #shorts")
=HYPERLINK("https://www.youtube.com/watch?v=Ry4P_WquSYw", "EP329 小朋友也能懂的高效人生管理術—Bryan讀《在咖啡廳遇見彼得．杜拉克》｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=58K4_emMeBs", "EP328 「勇敢」與「累積」： Joe & Bryan的年度回顧與展望｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=IdhUfZbSDz4", "EP327 #職業大百科：對自己的人生下個戰帖，挑戰後就會看見更好的自己｜#郵輪 娛樂主持人 游舒詠｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=7cVrX12AESc", "EP326 被父母的 #期待 壓得喘不過氣？你要接受自己可以不用是個「#好孩子」｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=MMhu7pFNjXo", "EP325 #長輩聊天 教戰守則：#春節 如何應對長輩的關心？在公司前輩心中如何建立良好印象？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=34stFVjHKU8", "EP324 不要期待 #溝通 能扭轉父母認知，兩代相處的關鍵在 #你｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=uIK9NZK1qro", "EP323 部屬工作表現不符合期待，身為 #主管 的你，該如何給予回饋？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=qEdxD97B9Tc", "EP322 第一份工作時，找 #有名 的公司重要嗎？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=sHzLvFADXxU", "EP321 改變需要勇氣，而勇氣來自於思考。一段從半導體到自媒體的尋夢之旅 ｜說書人 瓦基 《 下一本讀什麼 @readingoutpost  》｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=pMKL5Im70k0", "EP320 有自信的人不會努力武裝自己。評斷你是否有 #自信 的5個表現｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=IG08-DLxURI", "EP319 布萊恩推薦5個「海外華人」Youtube頻道！開拓認知，用不同的角度看中國與世界！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=3acwoYhUpjY", "EP318 我該嫁給一個自私到會犧牲我的利益，但有時似乎又很寵我的人嗎？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=PVWWT7CCRzk", "EP317 #職業大百科：想做行銷這份工作，要永遠對人和產品保持好奇｜外商資深品牌行銷經理 Vicky 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=-v59fzVGffo", "EP316 我 + 她 + 我原生家庭的相處難題｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=wMBtpgR0Jrg", "EP315 老闆講話總是模稜兩可，難道要我「通靈」或「擲筊」嗎？做好#向上管理，6大原因解答你的疑惑！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=rl5KjXArkEk", "EP314 經營診療室：進入殭屍狀態的小公司如何拯救？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=KGOgoQh31aA", "SP Today at Apple 課程回放：和「大人學」掌握工作時間管理的黃金心法｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=nwe0puR6TkI", "EP313 #職業大百科：一門跨越科技、醫療、與美學的有趣領域！你所不知的「#醫美」行業｜聖緹雅台北院長皮膚專科 #陳振豐 醫師｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=fkPOq0dg-6g", "EP312 面對選擇時，你曾想過：「這是翻轉人生的關鍵機會」嗎？來聊聊會讓你人生小贏大輸的賭徒思維｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=1zVhwAxikQs", "EP311 職業大百科：所有炎上事件的共同點，都來自於難以跨越的「人性」｜企業公關 蔡祐吉 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=lewCK4itizY", "EP310 我該去留學？找份工作？還是自己創業？#選擇 的重點永遠在於要拿到最關鍵的那片拼圖｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=kT_t5it0DX0", "EP309 如果這輩子讀過的書，上過的課，內容都忘光了，那麼 #學習的意義 到底在哪裡呢？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=2kElui9A49I", "EP308 能者過勞？無能的同事，其實是你職涯的 #貴人｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=Br03ro98amM", "EP307 總被人說講話沒重點？如何凸顯自己的優勢又不會讓別人覺得反感？成熟大人必備的3個 #說話 基本功｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=JK5BU00d3k0", "EP306 能力增長的過程中，你的心態是跟著 #提升？還是反而 #狹隘 了？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=tdrW4yDmz54", "EP305 職業大百科：喜歡小動物就適合當 #獸醫？獸醫的世界跟你想的不一樣！｜獸醫師 翁伯源 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=CoCVtuOl6kk", "EP304 #大人學選擇 的4個原則：人生抉擇的成功，都必須要量身訂做｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=Liv9zik6xRA", "EP303 到底是當「雞首」比較爽，還是當「牛後」比較香？這要看你今年幾歲！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=N45ZHED4HRs", "EP302 無法全心投入的#夢想，根本稱不上喜歡｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=FisOk2qLQss", "EP301 我該念 #研究所 嗎？什麼是大學時最該培養的能力？回應 #大學生 的職涯煩惱！feat. 大人學 Jeremy｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=wGd7x3Gp2ZQ", "EP300 特別企劃｜#JB快問快答：一次回答所有疑難雜症🐧｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=5dQzgNjWdv4", "EP299 從動畫《#派對咖孔明》學習高智慧的人如何看懂大局、選擇策略、累積籌碼｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=OJ5XzqWzanY", "EP298 你不該執著於「跨出」#舒適圈，而該努力「擴大」舒適圈｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=LAn1bVyqXsE", "EP297 如何成為頂尖#業務？#銷售 不用能言善道，但一定要懂得傾聽｜管理顧問 張敏敏 專訪｜大人的Small Talk")
